,0
277,715737495.1773641
278,186729663.45708987
279,2248840705.7052555
280,1480514627.3320866
281,98502026.60054421
282,3158662832.0658674
283,1536763127.7632227
284,255902332.50009885
285,1923583420.609559
286,1841713597.1601539
287,926688900.1925462
288,102287028.83601633
289,2738153075.2045884
290,2043928626.2773552
291,1220213854.2458103
292,3056792639.840204
293,5940867000.808568
294,7657710568.879701
295,581819256.6844501
296,28686572.61100306
297,2573249314.242161
298,4353956722.667724
299,28541219.910376526
300,4126354118.8990717
301,1831704707.143348
302,34877413.67089662
303,4892528750.055564
304,43371810.2937309
305,2461645059.749874
306,61455850.40745391
307,60342474.464583404
308,3044527783.279672
309,6593559256.517288
310,67671008.98727839
311,6241308335.715515
312,4869212370.673986
313,3331610257.226407
314,7808480180.447182
315,5082308103.888539
316,20463578.197549574
317,16296785.51346118
318,3247616089.165224
319,32135389.89214593
320,570479908.2839342
321,4045122182.2632303
322,24073764.463542607
323,28130962.93619269
324,4290903892.6815963
325,13089069.82817808
326,21725608.861424264
327,34063212.56967066
328,6257167232.373063
329,4773602970.614357
330,1809361790.3743958
331,22349564.243601374
332,6620043376.578181
333,2685901573.060813
334,3383150020.30234
335,44608562.24294825
336,44707204.41379919
337,5811729945.949344
338,4967417199.27226
339,5745396123.452196
340,1248393562.7977068
341,43028285.11784883
342,1747998281.3405418
343,4316092839.500378
344,5679342547.23203
345,3484315930.887855
346,6310183511.077531
347,3737300003.1819487
348,24686168.218437634
349,2086129622.676713
350,5243625612.577216
351,3570706611.9827857
352,7019632515.689085
353,6053073428.513082
354,2306553618.1443486
355,1316141532.8686733
356,4114002694.008149
357,7953892675.28203
358,3800900501.7168636
359,62525581.35319534
360,1587776384.4019783
361,4474992789.394229
362,3777231981.3539653
363,7360807887.565578
364,9413004520.446949
365,5582048815.333854
366,10645422534.050097
367,38126809.66552467
368,8244043922.571147
369,114011544.0826723
370,15446319152.306917
371,19252919981.351868
372,4619710034.319884
373,5931339946.008351
374,11338141993.512976
375,11140019378.677505
376,12239722793.27179
377,16701299921.645208
378,4116130442.792662
379,16381541898.428074
380,14961362622.705334
381,20196037654.514
382,4539012775.028098
383,16891003402.051985
384,8879988337.897482
385,16694512390.092966
386,16949246788.37684
387,14883595464.048523
388,4848077224.4825325
389,18439370462.193913
390,14941355615.134468
391,18182583590.54593
392,20463198130.43266
393,19140617774.614292
394,2795932668.515216
395,7647378200.557468
396,19617995482.683224
397,4501883168.408933
398,15828704498.409197
399,19733222136.82233
400,62904899.5153228
401,3787019117.844553
402,3021945630.82153
403,13048613444.93548
404,16664242883.128761
405,13632238196.14238
406,15200772335.29813
407,15157362721.46127
408,15017352164.757534
409,1046862015.647906
410,19142526306.35813
411,14639755034.44439
412,15299673613.816402
413,24688086.987308897
414,13413623291.617386
415,14115190250.174707
416,10737009800.606863
417,75919584.71622118
418,18136937899.57754
419,6421609975.02796
420,16015192044.962593
421,14513714019.33892
422,20838363359.622417
423,16199299223.971956
424,17421311406.833836
425,12839531961.888397
426,25551837.109293673
427,13489389278.50654
428,17146358931.952698
429,69385006.50550918
430,2768468261.8134155
431,28346949673.036983
432,13853164972.997938
433,13813401331.610003
434,17763447135.72182
435,45164940.969427645
436,14186763055.697414
437,15927743575.122337
438,15790566505.587933
439,12008694575.947268
440,19889888592.74816
441,11765697958.555296
442,15195134616.240164
443,14734228916.075693
444,231998119.60530755
445,28779681.986856986
446,28673132.38309821
447,15755925257.719286
448,16136779143.727697
449,13697930722.484045
450,28217363077.19668
451,15918997503.285282
452,12071502368.735758
453,14872937428.129547
454,20759842702.454533
455,7433166024.75502
456,12656747482.153524
457,23892983190.84137
458,42595259.820574164
459,16947012883.90592
460,27700120108.226234
461,4334067101.036792
462,10633528633.296892
463,13766375759.60098
464,9654191671.08252
465,30563371460.086422
466,14680041972.337591
467,15707444889.854445
468,33321129.436971083
469,14833778926.557209
470,20678014125.303833
471,35066747.96219996
472,35491645.5114019
473,11148151595.05919
474,17997793616.346226
475,15755710069.98906
476,12861917292.991905
477,15669704375.535875
478,12672329476.934341
479,18537216250.41463
480,15944583914.203863
481,16131175233.970852
482,14580608979.921232
483,23515583508.603577
484,28764245.688458912
485,15227859357.487724
486,28085665121.578964
487,4325952342.389448
